"EnterpriseNumber","Status","JuridicalSituation","TypeOfEnterprise","JuridicalForm","JuridicalFormCAC","StartDate"
"0200.065.765","AC","000","2","416",,09-08-1960
"0200.068.636","AC","000","2","417",,16-02-1923
"0200.171.970","AC","000","2","116",,01-01-1968
"0200.245.711","AC","012","2","116",,01-01-1922
"0200.305.493","AC","000","2","416",,19-03-1962
"0200.362.210","AC","000","2","706",,26-02-1968
"0200.362.408","AC","000","2","706",,01-01-1968
"0200.420.410","AC","000","2","051",,01-01-1968
"0200.420.608","AC","000","2","124",,01-01-1968
"0200.448.421","AC","000","2","124",,02-08-1963
